Department Level 1,Department Level 2,Department Level 3,Role,Employment type,Time with organisation,,Age group,Gender,Which of the following building blocks do you work in? ,Mobility outside the office,Your main office location,"Other offices (including clients, partners, suppliers or serviced offices)",Working while travelling between locations,Home,Elsewhere,"Working from home, what type of work setting do you use most often?","In your workplace, what type of work setting do you use most often?",Mobility inside the office,"Individual focused work, desk based",Individual focused work away from your desk,Individual routine tasks,Reading,Collaborating on focused work,Collaborating on creative work,"Informal, un-planned meetings",Planned meetings,Informal social interaction,Business confidential discussions,Private conversations,Telephone conversations,Thinking/creative thinking,Learning from others,Audio conferences,Spreading out paper or materials,Using technical/specialist equipment or materials,Relaxing/taking a break,Larger group meetings or audiences,"Hosting visitors, clients or customers",Video conferences,Meeting rooms (large),Meeting rooms (small),Desk/room booking systems,Quiet rooms for working alone or in pairs,Informal work areas/break-out zones,Accessibility of colleagues,Variety of different types of workspace,Desk,Chair,Ability to personalise my workstation,Space between work settings,Dividers (between desk/areas),People walking past your workstation,Personal storage,Shared storage,Archive storage,General décor,Plants & greenery,Art & photography,Atriums & communal areas,Air quality,Temperature control,Noise levels,Natural light,Office lighting,Mail & post room services,IT Help desk,"Hospitality services (e.g. guest reception/services, catering, meeting services)",Restaurant/canteen,"Tea, coffee & other refreshment facilities","Leisure facilities onsite or nearby (e.g. gym, fitness/wellness centre)",Reception areas,General tidiness,General cleanliness,Security,Health & safety provision,"Access (e.g. lifts, stairways, ramps)",Internal signage,Shower facilities,Toilets/W.C.,"Parking (e.g. car, motorbike or bicycle)",Telephone equipment,Printing/copying/scanning equipment,"Computing equipment, fixed (desktop)","Computing equipment, mobile (e.g. laptop, tablet)",Wired in-office network connectivity,WiFi network connectivity in the office,Remote access to work files or network,Audio-Visual equipment,Guest/visitor network access,Workplace culture,"Corporate image (for visitors, clients, potential recruits etc.)",Environmental sustainability,It enables me to work productively,It enables us to work productively,It supports me sharing ideas/knowledge amongst colleagues,It creates an enjoyable environment to work in,It contributes to a sense of community at work,It's a place I'm proud to bring visitors to,The design of my workplace is important to me,What aspects of the Pier 4 *space* are your favorite and what could we work to improve?
Global Services (GS),Senior Manager / Director (SM),IT,Senior Leader,Full time,3 - 8 years,,35-44,Male,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,0,0,0,3,0,3,3,0,0,2,0,0,0,0,0,0,0,3,0,3,2,2,2,1,0,0,2,2,1,0,0,0,1,1,0,0,2,0,0,2,2,0,1,2,1,0,1,2,2,2,0,0,2,0,2,2,2,2,0,1,0,0,2,0,2,0,1,2,2,0,3,3,1,2,3,3,3,3,3,3,"I love the staircase/café areas and the variety of space and light; the ability to go between all of the spaces is also really important (sharing among GS, NAMR, Boston)The general cleanliness will need some vigilance -- it's a big space, with a lot of people, and a lot of light-colored surfaces (would, carpet, walls); it takes abuse and will need a lot of maintenance to stay looking fresh. The light carpet, in particular, seems extremely hard to clean."
Global Services (GS),"Manager, Supervisor, Specialist (MSS)","Operation Services (Travel, Meetings, Real Estate, Procurement & Production)",People Manager,Full time,Over 12 years,,35-44,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,60,0,0,40,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,0,0,0,2,2,3,3,2,0,0,0,0,0,0,0,0,2,2,0,2,1,2,1,1,1,1,1,2,2,0,2,0,0,1,0,0,2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,0,2,1,2,2,2,1,0,1,1,2,0,0,1,0,2,2,1,2,2,3,2,3,3,2,3,2,3,3,"there could be more communal areas in between ""villages"", where people can informally stand and chat. Currently those stand-up areas are along the windows and not as much a communal space"
NAMR ,"Manager, Supervisor, Specialist (MSS)",Marketing,People Manager,Full time,3 - 8 years,,35-44,Female,Pier 4 - NAMR ,I primarily work there but attend meetings off-site or work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,Cafe and food provided are great perks; find the gym shower and restroom are not clean and would like them to be better cared for. 
Global Services (GS),Senior Manager / Director (SM),Partner Services,People Manager,Full time,3 - 8 years,,35-44,Male,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,80,0,0,20,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,-1,1,0,0,2,0,2,2,1,1,1,2,1,0,2,0,0,0,-1,0,1,-1,1,-2,1,1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,-1,3,-2,0,-1,0,-1,-1,2,0,
Consulting,Local BST,,Senior Leader,Full time,8 - 12 years,,35-44,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,95,5,0,0,0,-99,A private office assigned solely to you,I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,0,0,3,0,3,3,0,3,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,1,3,3,2,3,3,3,3,"Favorite things: windows (for views and natural light), ample meeting space, standing desks, café and barista, overall décor.  Things to improve: audio set up in large conf rooms and cafe, oversight for parking garage, stickiness of glass doors by elevators"
Consulting,Project Leader,None of the above,People Manager,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,30,50,5,15,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,-1,0,0,0,0,2,2,3,0,1,2,0,0,0,-1,0,1,0,0,-2,2,0,1,-1,0,0,0,1,1,0,1,1,0,-1,-1,0,1,0,0,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0,2,2,2,1,1,1,1,2,2,2,3,"Mostly amazing. What could be improved is the ""out of gym facilities"". The Showers aren't that great and there is no where to store wet, sweaty clothes apart from day lockers in the gym that are out of the way where I'm likely to forget but need to be emptied every night."
Consulting,Consultant,,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Boston ,I rarely work there and primarily work elsewhere,15,75,10,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,0,0,0,2,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,3,3,3,1,1,2,-2,3,1,Small rooms for individual focus with a phone for taking meetings/calls
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",IT,People Manager,Full time,3 - 8 years,,25-34,Male,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,60,10,0,30,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,3,0,1,0,2,3,3,3,1,2,2,0,0,3,2,0,3,3,3,3,2,2,-1,2,2,2,2,2,2,0,2,2,0,-1,0,0,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-3,-1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,#NAME?
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",HR / People ,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,40,0,0,60,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,2,2,0,0,3,3,3,3,0,3,3,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,-1,0,-1,0,0,2,1,2,2,2,2,2,2,2,0,2,0,0,0,0,2,2,2,0,1,2,0,0,-1,-1,0,2,0,0,0,2,2,0,0,1,3,-2,1,1,1,1,-2,3,3,"Pier 4 is an extremely beautiful and well designed work space. I would like to see work stations have an attachment to allow our laptops to be more ergonomic so that we can use our laptops as a secondary screen. It would also be useful to have some workstations with multiple screens for those users who may need multiple screens to work more effectively. The culture at BCG is such that although we have open seating, people don't talk to others sitting next to them. We may have moved offices but the culture still doesn't seem to have changed much. Also, from an environmental perspective, the office still uses a lot of paper cups for beverages. We need glasses and mugs to reduce this. Our environmental impact is high. During winter time, it would be nice for us to be able to leave our work shoes etc. in larger spaces. The current lockers are too small for winter storage. These are small suggestions. The workplace is wonderful and I feel happy to come to work after a frigid walk from South Stations. (PS- can we have a shuttle from South Station during winter? The walk over the bridge can be brutal on very cold days) THANK YOU FOR ALL THAT YOU DO!!!"
Consulting,Consultant,,Individual Contributor,Full time,18 months - 3 years,,18-25,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,25,75,0,0,0,-99,A quiet room/private office (available for flexible use),I perform most/all of my activities at a single work setting and rarely use other locations within the office,1,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,-1,0,-2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,-1,2,-1,1,2,1,1,-1,1,1,A navigation system to know what is empty/available and where people are.
NAMR ,"Manager, Supervisor, Specialist (MSS)",Finance,Individual Contributor,Full time,6 - 18 months,,25-34,Male,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,3,3,3,0,3,0,2,3,0,0,0,2,0,0,0,1,0,0,0,0,3,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,2,2,2,3,3,3,3,3,3,
Consulting,Project Leader,Industrial Goods,People Manager,Full time,3 - 8 years,,25-34,Female,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,20,80,0,0,0,-99,A quiet room/private office (available for flexible use),I perform some of my activities at a single work setting but often use other locations within the office,1,0,1,0,2,0,-1,2,3,0,-1,1,0,0,0,3,0,0,0,3,0,0,1,-2,-1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,3,2,1,2,3,2,3,3,3,"Great sharable spaces and coffee to meet people.  Lots of conference rooms for large team meetings.  On the other hand, its difficult to find an open office on Fridays and cannot book ahead of time, which makes Fridays somewhat stressful when needing to be on the phone most of the day with my team from other offices."
Consulting,Partner / Senior Partner,Consumer,Senior Leader,Full time,8 - 12 years,,35-44,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,30,0,70,0,0,-99,A private office assigned solely to you,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,0,0,2,3,0,0,-2,0,-2,0,0,0,0,0,0,0,2,2,2,-1,0,0,0,1,2,2,2,0,0,0,2,0,0,0,0,0,0,2,-2,0,2,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,3,2,2,2,2,"Cafe, run-in points.  Offices are amazing, so are the rising desks..."
Global Services (GS),Senior Manager / Director (SM),"Operation Services (Travel, Meetings, Real Estate, Procurement & Production)",Senior Leader,Full time,3 - 8 years,,55-64,Male,Pier 4 - Global Services ,I regularly work there but primarily work off-site or work elsewhere,30,30,10,30,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,3,0,0,3,2,0,3,0,3,0,0,2,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,-1,1,0,0,2,2,0,0,0,0,1,2,0,0,2,0,2,0,1,0,0,0,3,3,1,3,3,2,3,3,3,1,
Consulting,Project Leader,Technology Advantage,Individual Contributor,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,20,70,5,5,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,2,0,2,3,0,0,0,3,2,0,3,0,0,0,0,0,3,2,2,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,2,1,1,1,0,1,2,0,2,2,0,0,2,2,0,0,2,0,0,2,0,2,2,2,0,0,2,0,0,0,2,3,-2,2,2,3,3,3,3,3,"positive: a lot of space, great quality, light! negative: monitors dont connect, lights dont switch off during nights, only paper cup (we just produce too much waste here)"
Consulting,Global / Regional BST,,Individual Contributor,Full time,18 months - 3 years,,25-34,Female,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,80,10,0,10,0,A dedicated work area (but not a separate room),"A workstation, assigned solely to you, in an open plan office area",I perform some of my activities at a single work setting but often use other locations within the office,1,2,3,0,2,0,3,3,2,3,3,3,0,1,0,0,0,1,0,2,0,1,1,1,1,1,1,2,1,1,-1,0,0,-1,-1,-2,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,2,2,2,2,2,1,1,1,2,2,"I really love the variety of work spaces throughout the office. I often take advantage of different areas depending on what work I'm doing including: my assigned desk, open offices, conference rooms, the cafe, seating around the office (light house stair, stand alone chairs in corridors, etc)."
NAMR ,"Manager, Supervisor, Specialist (MSS)",HR / People / D&I / Benefits,People Manager,Full time,3 - 8 years,,35-44,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,90,0,0,10,0,A dedicated work room or office,"A workstation, assigned solely to you, in a shared office (enclosed room or space)",I perform the majority of my activities at a single work setting but also use other locations within the office,1,0,1,1,0,0,0,1,0,1,-1,1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,-1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,-1,1,-1,0,-1,-1,0,0,1,2,My favorite aspects of Pier 4 include the natural light and variety of work spaces. The technology in conference rooms continues to need improvement.
NAMR ,Core Staff (CS) ,Finance,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,2,1,1,1,1,-1,3,1,-3,-2,2,1,1,-2,1,1,-3,1,1,3,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,3,2,2,0,3,3,3,3,
Consulting,Associate,,Individual Contributor,Full time,6 - 18 months,,18-25,Female,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,20,65,10,5,0,A non-work specific home location (such as a dining table),A shared team table,I perform some of my activities at a single work setting but often use other locations within the office,1,0,0,0,1,0,-1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2,
Global Services (GS),Core Staff (CS),HR / People ,Individual Contributor,Full time,0 - 6 months,,18-25,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,1,0,1,0,2,0,0,3,3,0,0,0,0,2,0,0,0,3,0,0,2,0,1,1,1,1,2,2,0,1,-1,0,0,0,-1,0,0,1,0,0,2,0,0,2,2,2,0,2,2,0,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,2,3,3,3,3,3,3,3,
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Finance,Individual Contributor,Full time,0 - 6 months,,25-34,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform most/all of my activities at a single work setting and rarely use other locations within the office,3,0,0,0,-2,2,1,3,-1,0,-2,-2,-1,-1,0,2,0,2,0,0,0,1,1,1,0,0,0,0,1,1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,2,2,2,1,-1,1,-1,2,2,
Consulting,Local BST,,Individual Contributor,Full time,18 months - 3 years,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A non-work specific home location (such as a dining table),"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,3,0,3,3,3,3,3,2,2,2,0,0,0,0,0,3,3,3,0,2,2,-1,1,0,2,0,2,2,1,0,0,2,-1,0,0,2,2,2,2,2,2,0,2,2,0,2,1,2,2,2,0,-1,1,0,0,0,2,2,1,0,0,1,0,2,0,1,1,1,1,3,3,-2,3,2,3,3,3,3,3,"Pier 4 has created spontaneous conversations with colleagues I generally don't work with directly and formed new relationships with those I work near. It has created a really open and casual environment that I sincerely enjoy working in! The areas for improvement generally surround the behavior people exhibit - not booking rooms properly, leaving a mess on desks when they leave and not recycling properly. The OS team has done a great job communicating these procedures but it seems like folks still aren't adhering to these policies."
Global Services (GS),Senior Manager / Director (SM),Legal,Senior Leader,Full time,18 months - 3 years,,45-54,Female,Pier 4 - Global Services ,I regularly work there but primarily work off-site or work elsewhere,40,0,0,60,0,A dedicated work room or office,A flexible/non-allocated workstation,I use multiple work settings and rarely base myself at a single location within the office,2,-1,0,0,2,0,2,0,3,1,1,-1,0,2,2,0,0,0,0,0,2,2,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,-1,0,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,2,0,0,2,2,2,3,2,
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Marketing,Individual Contributor,Full time,3 - 8 years,,35-44,Male,Pier 4 - Global Services ,I rarely work there and primarily work elsewhere,25,0,0,75,0,A dedicated work room or office,A flexible/non-allocated workstation,I use multiple work settings and rarely base myself at a single location within the office,-3,0,0,0,-1,-3,-2,-1,3,-3,-3,-1,-3,0,-1,0,-1,1,3,3,-1,2,0,-1,-2,-1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,-2,2,0,0,0,2,-3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,-2,2,-1,3,-3,-3,-3,-3,-3,-3,0,-2,"The office is good for large meetings with internal colleagues or for having guests/vendors come to the office. But the open workspace does not provide me with the necessary working conditions to be productive.  It's loud and the noise and conversations are distracting.  Most of the time the rooms nearest me are in use or booked for the majority of the day.  And the monitors and other equipment are not USB-C/Mac friendly (I have a mac book).  All of these things combined make the office virtually unusable for solitary work or creative work that requires small, quick meetings with co-located colleagues. 80% of the time I need a quiet isolated workspace with technology and hardware that requires near 0% troubleshooting and intervention and I get this from my home workspace. "
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Finance,People Manager,Full time,18 months - 3 years,,35-44,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,90,0,0,10,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,2,0,0,0,2,0,0,1,-1,0,0,1,0,0,-2,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,1,0,0,0,1,1,-1,1,1,1,1,0,1,1,It is beautiful with a lot of great perks and amenities.
Global Services (GS),Senior Manager / Director (SM),Finance,Individual Contributor,Full time,Over 12 years,,45-54,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,75,0,5,20,0,A dedicated work room or office,A quiet room/private office (available for flexible use),I perform the majority of my activities at a single work setting but also use other locations within the office,1,0,0,0,3,0,2,3,3,1,1,3,2,0,-1,0,0,0,2,2,-1,1,2,-1,2,0,-1,2,2,2,0,0,0,0,2,0,0,2,2,1,0,2,1,-1,2,2,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,3,1,1,3,0,3,0,3,3,Favorite - Panoramic views; work station set up/ furniture; variety of multi-person rooms for collaborative work
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Least favorite: Telecommunication equipment (never seems to work easily); sound proofing on rooms; restroom facilities (there is always water all over the counters)""",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",HR / People ,People Manager,Full time,3 - 8 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,80,0,0,20,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,1,-2,1,2,1,0,-1,1,3,1,-1,-1,0,0,0,0,0,3,-1,0,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,2,-1,-1,1,0,0,1,0,-1,0,1,1,-1,2,2,2,2,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,1,2,1,2,1,-1,1,-1,2,2,
Consulting,Principal,People & Organization,People Manager,Full time,3 - 8 years,,35-44,Female,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,70,10,20,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,2,0,0,1,1,-1,2,3,0,1,2,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,0,0,0,0,1,0,0,2,1,2,0,1,-1,0,1,1,0,1,2,0,0,0,0,1,1,0,2,0,0,0,1,0,1,2,0,-2,0,2,0,1,0,2,3,0,2,2,2,2,2,3,2,
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Legal,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,-2,0,0,-1,1,3,3,3,0,-2,-1,1,0,0,-1,1,0,3,0,0,3,0,1,-1,0,0,2,2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,2,0,-2,1,0,0,2,2,0,2,2,2,0,0,0,2,2,0,0,2,0,1,1,1,1,0,0,2,2,2,0,0,2,2,2,3,3,"Beautiful modern office with lots of light; inspiring to work in.  My day to day job involves reading/reviewing complex documents--it is difficult to focus on such activity in an open environment with noise/distractions coming from others in the working space and the kitchen/lounge area.  Sometimes it is difficult to find an open private office in which to have a client webex call. Additionally, many of the offices/small breakout rooms are not soundproof, and a conversation that a colleague is having in the adjacent room can be clearly heard, even with the door shut.  This is distracting and can also pose confidentiality issues."
Consulting,Project Leader,None of the above,People Manager,Full time,3 - 8 years,,35-44,Male,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,80,10,0,10,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform most/all of my activities at a single work setting and rarely use other locations within the office,2,0,3,0,3,0,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,1,1,2,2,0,0,2,2,2,-1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,3,3,3,3,3,3,3,3,3,3,Absolutely incredible space; my only issue has been sometimes it's been difficult to reserve rooms for team meetings...but that's minor and as a whole everything has been just amazing
Global Services (GS),Core Staff (CS),Finance,Individual Contributor,Full time,3 - 8 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,90,0,0,10,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,1,0,-1,1,1,1,1,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,2,-1,2,2,2,3,2,3,3,"Favorite aspect is the overall design of the building, it was done in such a way that we have plenty of natural light and different types of work spaces depending on your needs.  In order to increase productivity further it would be beneficial to aim to have kitchens adequately stocked on each floor."
Consulting,Global / Regional BST,,Individual Contributor,Full time,3 - 8 years,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,1,1,0,0,2,0,0,2,2,0,1,-2,0,1,0,0,0,1,2,2,0,1,1,0,1,0,0,1,1,1,-1,0,0,0,-2,-1,0,1,1,1,2,1,-1,0,1,-1,-2,2,1,1,1,1,0,1,2,1,1,0,-1,1,1,-2,1,2,0,1,0,2,1,0,1,3,3,1,1,1,0,1,1,3,3,"I think the open seating is very difficult - half of the members of my department have assigned seats, and half don't - which makes for a weird dynamic. We are also very spread out within our corner of the office, so our workplace is generally VERY quiet, almost too quiet. So when a case team, etc sits in our corner and converses aloud, it is VERY difficult to get anything done, and it usually upsets the people that are used to sitting here in the quiet. I just don't think the culture and norms we've created work very well, and they need some adjusting. We either need to set a quiet or collaborative workplace norm (and if you need it to be quiet, you go to an office). Either way, the rolling of eyes that occurs when a loud team sits over here needs to stop! "
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",IT,Senior Leader,Full time,3 - 8 years,,45-54,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,60,0,0,40,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,0,0,0,2,0,2,2,0,2,3,3,0,0,2,0,0,0,3,0,3,2,2,1,0,0,0,0,2,2,2,1,1,1,1,0,0,1,0,1,0,1,1,1,2,1,0,1,1,-1,0,0,0,1,1,0,0,1,0,0,0,-1,0,0,0,1,0,1,0,0,0,2,3,2,2,2,2,2,2,3,2,Lots of flexible work space and the view are great. 
